inscription_id,cisi,site,artefact_type,direction_raw,direction,reading_order_known,complete,stored_length,position,sign_code,is_missing
INDUS-0001,Agr-1,Alamgirpur,POT:T:g,L/R,L/R,True,True,2,1,410,False
INDUS-0001,Agr-1,Alamgirpur,POT:T:g,L/R,L/R,True,True,2,2,017,False
INDUS-0002,Agr-2,Alamgirpur,POT:T:g,L/R,L/R,True,True,2,1,410,False
INDUS-0002,Agr-2,Alamgirpur,POT:T:g,L/R,L/R,True,True,2,2,017,False
INDUS-0003,Agr-3,Alamgirpur,POT:T:g,L/R,L/R,True,True,2,1,405,False
INDUS-0003,Agr-3,Alamgirpur,POT:T:g,L/R,L/R,True,True,2,2,017,False
INDUS-0004,-,Allahdino,POT:T:g,-,OTHER,False,False,2,1,220,False
INDUS-0004,-,Allahdino,POT:T:g,-,OTHER,False,False,2,2,000,True
INDUS-0005,-,Allahdino,TAG,R/L,R/L,True,True,2,1,740,False
INDUS-0005,-,Allahdino,TAG,R/L,R/L,True,True,2,2,235,False
INDUS-0006,Ad-1,Allahdino,SEAL:S,R/L,R/L,True,True,3,1,740,False
INDUS-0006,Ad-1,Allahdino,SEAL:S,R/L,R/L,True,True,3,2,390,False
INDUS-0006,Ad-1,Allahdino,SEAL:S,R/L,R/L,True,True,3,3,590,False
INDUS-0007,Ad-2,Allahdino,SEAL:S,R/L,R/L,True,True,4,1,368,False
INDUS-0007,Ad-2,Allahdino,SEAL:S,R/L,R/L,True,True,4,2,390,False
INDUS-0007,Ad-2,Allahdino,SEAL:S,R/L,R/L,True,True,4,3,125,False
INDUS-0007,Ad-2,Allahdino,SEAL:S,R/L,R/L,True,True,4,4,033,False
INDUS-0008,Ad-3,Allahdino,SEAL:S,R/L,R/L,True,True,5,1,740,False
INDUS-0008,Ad-3,Allahdino,SEAL:S,R/L,R/L,True,True,5,2,904,False
INDUS-0008,Ad-3,Allahdino,SEAL:S,R/L,R/L,True,True,5,3,033,False
INDUS-0008,Ad-3,Allahdino,SEAL:S,R/L,R/L,True,True,5,4,705,False
INDUS-0008,Ad-3,Allahdino,SEAL:S,R/L,R/L,True,True,5,5,235,False
INDUS-0009,Ad-4,Allahdino,SEAL:S,R/L,R/L,True,True,6,1,740,False
INDUS-0009,Ad-4,Allahdino,SEAL:S,R/L,R/L,True,True,6,2,017,False
INDUS-0009,Ad-4,Allahdino,SEAL:S,R/L,R/L,True,True,6,3,495,False
INDUS-0009,Ad-4,Allahdino,SEAL:S,R/L,R/L,True,True,6,4,235,False
INDUS-0009,Ad-4,Allahdino,SEAL:S,R/L,R/L,True,True,6,5,741,False
INDUS-0009,Ad-4,Allahdino,SEAL:S,R/L,R/L,True,True,6,6,066,False
INDUS-0010,Ad-5,Allahdino,SEAL:S,R/L,R/L,True,True,3,1,156,False
INDUS-0010,Ad-5,Allahdino,SEAL:S,R/L,R/L,True,True,3,2,460,False
INDUS-0010,Ad-5,Allahdino,SEAL:S,R/L,R/L,True,True,3,3,510,False
INDUS-0011,Ad-6,Allahdino,SEAL:S,R/L,R/L,True,True,5,1,072,False
INDUS-0011,Ad-6,Allahdino,SEAL:S,R/L,R/L,True,True,5,2,170,False
INDUS-0011,Ad-6,Allahdino,SEAL:S,R/L,R/L,True,True,5,3,740,False
INDUS-0011,Ad-6,Allahdino,SEAL:S,R/L,R/L,True,True,5,4,840,False
INDUS-0011,Ad-6,Allahdino,SEAL:S,R/L,R/L,True,True,5,5,013,False
INDUS-0012,Ad-7,Allahdino,SEAL:S,R/L,R/L,True,False,6,1,740,False
INDUS-0012,Ad-7,Allahdino,SEAL:S,R/L,R/L,True,False,6,2,142,False
INDUS-0012,Ad-7,Allahdino,SEAL:S,R/L,R/L,True,False,6,3,000,True
INDUS-0012,Ad-7,Allahdino,SEAL:S,R/L,R/L,True,False,6,4,000,True
INDUS-0012,Ad-7,Allahdino,SEAL:S,R/L,R/L,True,False,6,5,388,False
INDUS-0012,Ad-7,Allahdino,SEAL:S,R/L,R/L,True,False,6,6,000,True
INDUS-0013,Ad-8,Allahdino,MISC,R/L,R/L,True,False,6,1,740,False
INDUS-0013,Ad-8,Allahdino,MISC,R/L,R/L,True,False,6,2,440,False
INDUS-0013,Ad-8,Allahdino,MISC,R/L,R/L,True,False,6,3,503,False
INDUS-0013,Ad-8,Allahdino,MISC,R/L,R/L,True,False,6,4,002,False
INDUS-0013,Ad-8,Allahdino,MISC,R/L,R/L,True,False,6,5,861,False
INDUS-0013,Ad-8,Allahdino,MISC,R/L,R/L,True,False,6,6,000,True
