cisi,ext_id,motif,ext_direction,ext_line_count,ext_object_type,source
Agr-1,S1,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
Agr-2,S2,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
Agr-3,S3,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
Ad-1,S6,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
Ad-2,S7,Bull1:J,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
Ad-3,S8,Bull1:II,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
Ad-4,S9,Bull1:II,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
Ad-5,S10,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
Ad-6,S11,Rhin,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
Ai-7,S17,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
Blk-1,S19,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
Blk-2,S20,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
Blk-4,S22,Bull1:II,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
B-1,S27,Bull1:O,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
B-3,S28,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
B-4,S29,Bull3,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
B-5,S30,Bull3,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
B-7,S31,Buff,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
B-8,S32,Goat:4,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
B-9,S33,Goat:3,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
B-15,S36,Rhin,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
B-17,S37,Htgr,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
B-19,S39,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
B-21,S40,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
Ch-2,S54,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-87,S57,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-72,S58,Bull3,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
C-80,S60,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-66,S61,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-54,S64,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-59,S65,Bull1:V,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-69,S66,Bull1:J,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-75,S67,Elep,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-55,S68,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-60,S69,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-70,S70,Bull1:II,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-53,S71,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-76,S72,Gaur,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-68,S73,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-58,S74,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-79,S75,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
C-74,S76,Gaur,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-51,S77,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-56,S79,Bull1:I,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-61,S80,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-78,S81,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-63,S85,Bull1:S,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-67,S87,Bull1:S,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-77,S88,T-A-T,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-1,S89,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-2,S90,Bull1:L,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-3,S91,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-4,S92,Bull1:L,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-5,S93,Bull1:I,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-6,S94,Bull1:J,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-8,S96,Bull1:J,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-9,S97,Bull1:J,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-10,S98,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-11,S99,Bull1:I,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-12,S100,Bull1:L,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-15,S103,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-16,S104,Bull1:L,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-17,S105,Bull1:I,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-20,S107,Bull1:I,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-21,S108,Bull1:II,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-24,S111,Tigr,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-30,S113,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
C-32,S114,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
Dlp-1,S123,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
Dlv-1,S145,Bull1:J,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
Grb-1,S157,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1189,S162,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1397,S170,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1086,S173,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1085,S176,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1422,S181,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1138,S198,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-423,S199,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-661,S205,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-294,S217,S590,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1177,S218,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1142,S220,Fish,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1326,S221,Bult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
